"tree.no","spp","status","dbh","x.coord","y.coord","crown.class"
95,"A. punctatum",1,40.1,2.86188605260853,67.2285864915103,2
96,"A. punctatum",1,93,3.02272285151884,68.9493535473185,1
97,"A. punctatum",1,5.5,7.81634692541633,72.2261115173147,3
98,"N. obliqua",2,91.9,19.5162433594044,42.0485634071579,3
99,"A. punctatum",1,5,18.3760504506613,40.0829600499217,3
100,"A. punctatum",1,37,5.37333976192402,77.2437519103503,2
101,"A. punctatum",1,34.3,22.3682679388943,50.5052335777106,2
102,"A. punctatum",1,66.8,25.6861031909223,49.0267253679086,1
103,"A. punctatum",1,29.2,17.0161451049205,74.2700885575217,2
104,"N. obliqua",1,147.3,0.318183353868733,71.3046508121715,1
105,"A. punctatum",1,50.3,26.0963126865411,51.0143189369825,1
106,"A. punctatum",1,39.5,17.6914162931163,74.4545913241253,1
107,"A. punctatum",1,13.7,10.0015736666757,80.3887514587142,3
108,"A. punctatum",1,23.6,10.1666419988672,80.3923532625356,2
109,"A. punctatum",1,13.3,18.2378637945588,74.3584593997294,3
110,"N. obliqua",1,90.1,27.8762836363225,51.4773648073322,1
111,"A. punctatum",1,40.7,15.1691784836099,75.8552093965594,2
112,"N. obliqua",1,117.8,13.6364541915101,71.1379690757355,1
113,"A. punctatum",1,65.4,29.961879492146,53.0827550789262,1
114,"A. punctatum",1,12.3,12.0346398049264,81.014814611346,3
115,"A. punctatum",1,25.6,12.9890696012959,81.7728036712417,2
116,"A. punctatum",1,50,22.5547596205946,69.9182800132641,1
117,"A. punctatum",2,45.4,31.7789596849103,51.4848534161271,3
118,"A. punctatum",1,73.95,20.018625208103,63.3260821253292,1
119,"A. punctatum",1,5.8,61.2125301739048,88.463546013728,3
120,"A. punctatum",1,36.8,23.8119884234796,52.7199445524039,1
121,"N. obliqua",2,59.4,21.4313568084039,63.8993585462834,3
122,"A. punctatum",1,13.3,25.4807449991156,54.5839004541974,3
123,"A. punctatum",1,6.8,24.6622510423501,62.4657767973433,3
124,"A. punctatum",1,15.5,23.7622529326095,65.2790303804513,3
125,"A. punctatum",1,39.05,26.332692330441,50.9329268983682,1
126,"A. punctatum",1,11.4,25.3503268788206,67.4764324966996,3
127,"A. punctatum",1,54.9,24.4403259364138,62.5220971081172,1
128,"A. punctatum",1,102.3,6.45301060737068,87.006978474561,1
129,"A. punctatum",1,45,27.9015880871879,66.7963998961305,1
130,"L. dentata",1,7.8,27.2026638483309,63.823085083373,3
131,"A. punctatum",1,29.7,11.5751127843318,86.1717069076802,3
132,"A. punctatum",1,22.5,30.2506083405634,58.3465455693721,2
133,"A. punctatum",1,13,29.0098727595801,57.2011648376433,3
134,"A. punctatum",1,73,33.9764789164727,54.6186544026161,1
135,"A. punctatum",1,33.3,31.3073378177511,65.5203855721594,1
136,"A. punctatum",1,7.2,32.1341903712134,63.3682576026558,3
137,"A. punctatum",1,17.2,33.6403274946886,63.0935850610404,2
138,"E. cordifolia",2,81.7,10.4968415286606,89.2452348701767,2
139,"A. punctatum",1,44.2,33.9003744464377,67.3103909920407,1
140,"A. punctatum",1,57.9,37.9903699291253,58.0994540578541,1
141,"A. punctatum",1,33.6,14.9335524680507,86.6370729596386,2
142,"A. punctatum",1,51.6,35.8040981774342,68.2562938518627,1
143,"A. punctatum",1,36.5,31.8025775945763,73.2851972193775,2
144,"A. punctatum",1,14.5,38.5155678587404,58.2829042419217,3
145,"A. punctatum",1,57.3,12.784853867468,94.1953357186989,1
146,"A. punctatum",1,36.4,37.6229621795391,63.6101068649314,2
147,"A. punctatum",1,52.2,7.58025527947023,91.7651411864899,1
148,"A. punctatum",1,97.9,7.19896851256618,92.8524006690457,1
149,"A. punctatum",1,17.1,22.1428902148031,73.1212835563191,2
150,"N. obliqua",1,125.3,41.5416975855913,69.7936789797717,1
151,"A. punctatum",1,22.8,24.7496984617815,73.0169708420307,2
152,"A. punctatum",1,11,21.7327689459814,74.8656917358964,3
153,"A. punctatum",1,98.9,13.2052108107922,70.0923901717881,1
154,"A. punctatum",1,26.4,42.0508585471561,69.3425349150779,2
155,"A. punctatum",1,14.9,42.1508585471561,69.3425349150779,2
156,"A. punctatum",1,51.2,25.2865210048359,78.1919265581872,1
157,"A. punctatum",1,114.9,1.59,99.3,1
158,"A. punctatum",1,30.6,44.1975355695366,63.7516690283316,2
159,"A. punctatum",1,20.2,29.8008566550534,80.7792499965694,2
160,"A. punctatum",1,74.6,33.1003432481753,75.0567889055548,1
161,"L. sempervirens",1,47.6,43.2819125888466,73.0850374343273,1
162,"A. punctatum",1,33.1,34.7710616530723,77.8484030838002,1
163,"A. punctatum",1,137.2,15.9955129748248,96.1924800420958,1
164,"A. punctatum",1,16.9,35.4121410529711,81.6512466072345,2
165,"A. punctatum",1,18.7,38.1652324238177,82.6318416378104,2
166,"A. punctatum",1,42,44.3069006829534,72.4607890202061,2
167,"A. punctatum",1,7.7,37.4860438318862,72.9314715574822,3
168,"A. punctatum",1,71.9,39.8329386871538,73.3277874858562,1
169,"A. punctatum",1,25.4,38.0772179048959,83.0233865065747,2
170,"A. punctatum",1,9.8,44.0803885206691,75.2436113419409,2
171,"L. philippiana",1,23.4,25.2865210048359,87.7480134215434,2
172,"A. punctatum",1,40.2,44.3080037037083,75.9262247631749,1
173,"A. punctatum",1,110.05,43.3714451563951,79.5941553069999,1
174,"A. punctatum",1,74.8,30.2243379875848,87.654506889527,1
175,"A. punctatum",2,69.2,43.4278703918541,85.0783874781975,2
176,"N. obliqua",1,100.55,48.6502375065113,77.7248368952908,1
177,"A. punctatum",1,35.1,40.630988302253,90.5531017866954,2
178,"L. philippiana",1,5.3,46.2055294704308,89.3556073747191,3
179,"A. punctatum",1,82.45,39.9353539771722,90.8560139994299,1
180,"A. punctatum",1,50.8,39.1513154080351,92.8212221942197,1
181,"A. punctatum",1,36.1,48.1913167541847,88.1913167541847,2
182,"A. punctatum",2,21.1,49.3475811330254,78.1593046749302,3
183,"A. punctatum",1,40,49.7939794800429,75.9636287026054,1
184,"L. sempervirens",1,99.3,49.3012432626873,89.4863610355023,1
185,"P. lingue",1,18.3,44.056194108039,96.6110394396705,2
186,"N. obliqua",2,67.3,48.5680334009405,71.5862635418972,3
187,"A. punctatum",1,5.9,48.1614037128594,97.266844689722,3
188,"A. punctatum",1,8.2,51.1941155238933,93.8340533092262,3
189,"A. punctatum",1,5.3,51.1563923973675,97.4641363264836,3
190,"L. philippiana",1,25.2,53.0064453126302,94.8250417552633,2
191,"A. punctatum",1,18.9,47.5629932297167,80.4089097172578,2
192,"A. punctatum",1,75.4,46.5987918757395,81.3831028057089,1
193,"A. punctatum",1,7.5,56.3498974640747,97.3931649646563,3
194,"A. punctatum",1,8.8,52.9512432626873,95.8083464831286,3
195,"A. punctatum",1,40.6,61.4584231275957,95.3744727888711,1
196,"A. punctatum",1,5.2,63.3177480156456,96.9598440657295,3
197,"A. punctatum",1,24.8,33.543833070505,13.6242631157598,2
198,"A. punctatum",1,45.6,48.1549476063127,85.9118987309987,1
199,"A. punctatum",1,41.8,55.4856098383728,90.6697919922113,2
200,"A. punctatum",1,8.7,60.453493573307,94.2378178110225,3
201,"L. philippiana",1,5.6,57.9564356595172,89.4867728652755,3
202,"A. punctatum",1,8.8,50.7320486434585,87.7010131452717,3
203,"L. philippiana",1,46,60.1143132621642,93.4509975967256,1
204,"A. punctatum",1,18.5,56.3745908614381,88.1418210260584,2
205,"A. punctatum",1,8.1,52.3642484811202,86.2247396125545,3
206,"A. punctatum",1,37.4,56.7534057909285,85.355559893201,1
207,"A. punctatum",1,49,60.1549773691631,91.1213524670113,1
208,"A. punctatum",1,24.2,54.4596891480783,80.6786399116398,2
209,"A. punctatum",1,56.5,56.3631805481231,81.2901858834875,1
210,"L. philippiana",1,6.9,66.2051285385833,88.0253580408423,3
211,"L. philippiana",1,10.1,60.3947734336114,77.3834451355624,3
212,"A. punctatum",1,18.8,65.1504845926767,85.7435303693317,2
213,"A. punctatum",1,54.8,54.8209985595021,70.3708102413486,1
214,"A. punctatum",1,13.2,54.5913707434039,70.1205331229859,3
215,"A. punctatum",1,103.7,68.4519257208269,87.0484228219755,1
216,"L. philippiana",1,26.4,68.5292594417086,81.4054389890695,2
217,"A. punctatum",1,62,53.1779516319956,65.1483409409631,1
218,"P. lingue",1,13.4,66.8181801784337,79.1045917854942,3
219,"L. dentata",1,30.2,68.6425216968129,85.3605371021032,2
220,"A. punctatum",1,5.3,61.8622707598187,95.495102624171,3
221,"A. punctatum",1,35.3,56.503932391428,65.6312073055178,2
222,"L. philippiana",1,7.6,70.1604501750561,79.2528785244869,3
223,"L. philippiana",1,9.7,70.9965410404317,84.700606467182,3
224,"A. punctatum",1,52.3,56.6028780021823,63.6685924058614,1
225,"L. philippiana",1,6.3,66.4058638469587,83.8643751385361,3
226,"L. philippiana",1,15.7,72.1304501750561,79.2528785244869,2
227,"A. punctatum",1,65,65.0349677938208,75.097803885169,1
228,"N. obliqua",1,79.1,55.6460428296461,63.0578260246056,1
229,"P. lingue",1,14,61.307387101916,72.4820738718891,3
230,"A. punctatum",1,10.2,62.0446498127634,72.7168713432804,3
231,"A. punctatum",1,26.1,63.2669648287929,71.217050606078,3
232,"A. punctatum",1,61.8,54.3583347994088,61.6056673976146,1
233,"A. punctatum",1,71.2,63.9866377461987,71.3722919180303,1
234,"A. punctatum",1,74.5,63.9179941912602,72.0164565807615,1
235,"A. punctatum",1,96.4,47.7457231750063,59.5231037023149,1
236,"A. punctatum",1,71.1,62.6990584290788,62.5387321478101,1
237,"A. punctatum",1,101.45,61.5832488923476,65.4812991654875,1
238,"N. obliqua",1,77.2,45.2552507414898,56.5902590264784,1
239,"L. sempervirens",1,63,62.7991011297007,63.4522155263059,1
240,"G. avellana",1,5.3,59.7517997502381,61.5719635982993,3
241,"A. punctatum",1,36.6,59.1524586573019,60.5867695917736,2
242,"A. punctatum",1,18.1,57.9078004364565,61.3621498116207,2
