File: eucaLeaf.dat                                Spring 2009
Leaf measurements from Steve Candy, used in his Ph. D. thesis 
A portion of these data was later used by:
- Gregoire, TG., and Salas, C. 2009. Ratio estimation with measurement
     error in the auxiliary variate. Biometrics 65(2):590-598

Number of data records = 744           First line of data = 12

Time       Tree Shoot      Length  Width   Leaf_area
                           ( mm )  ( mm ) ( cm^2 )
==============================================================
EARLY         13   BC       197       31   45.4     43.4335379
EARLY         13   BC       164       22   28.8     25.7936613
EARLY         13   BC       178       29   38.1    37.03371874
EARLY         13   BC       227       38   61.3    60.92536614
EARLY         13   BC       176       30   40.6    37.99157076
EARLY         13   BC       155       18   21.4    19.88755558
EARLY         16   SC       249       49   81.4    86.28283344
EARLY         16   SC       235       61  102.4    103.1308076
EARLY         16   SC       228       46   75.1    74.71350421
EARLY         16   SC       375       55  131.8    139.7918089
EARLY         16   SC       279       55  104.2    107.6696917
EARLY         16   SC       263       53   98.1     98.3099567
EARLY         16   SC       337       64  137.5    149.0931063
EARLY         16   SC       297       50   97.2    102.9692026
EARLY         16   SC       237       41   66.1     68.5324102
EARLY         16   SC       324       58  113.8    129.8944555
EARLY         16   SC       227       49   79.5    79.51612801
EARLY         16   SC       180       33   44.6    42.82161553
EARLY         16   SC       170       40   47.5    49.80360668
EARLY         16   SC       271       42   78.0    79.11554419
EARLY         16   SC       172       58   76.7     74.2640261
EARLY         16   SC       255       41   71.2    73.10801904
EARLY         16   SC       255       63  112.3    114.6524005
EARLY         16   SC       404       55  135.8    149.2944371
EARLY         16   SC       370       57  121.0    143.4114459
EARLY         16   SC       330       48   94.3    108.2768854
EARLY         16   SC       320       62  124.6    137.7738554
EARLY         16   SC       276       65  121.0    127.0413121
EARLY         16   SC       195       28   39.3    38.69093253
EARLY         16   SC       133       21   17.6    20.41798715
EARLY         16   SC       186       28   31.8     37.1099712
EARLY         16   SC       180       32   34.8    41.46334145
EARLY         16   SC       320       45   97.9    98.48648215
EARLY         16   SC       206       38   44.9    55.92117491
EARLY         16   SC       110       26   16.8    21.59582427
EARLY         16   SC       136       30   31.5    30.25698275
EARLY         16   SC       160       41   46.8    48.44491784
EARLY         16   SC       160       33   38.1    38.59228433
EARLY         16   SC       152       40   41.1    45.11772011
EARLY         16   SC        84       14    8.3    8.899280591
EARLY         16   SC       110       19   15.0    15.54818143
EARLY          5   SC        95       30   21.8    22.04226841
EARLY          5   SC       168       46   59.1    57.05635118
EARLY          5   SC       253       52   94.6    93.12541297
EARLY          5   SC       320       60  124.8    133.1220362
EARLY          5   SC       298       48   96.0    98.95217322
EARLY          5   SC        80       23   13.9    14.33796972
EARLY          5   SC       224       47   75.0    75.23086973
EARLY          5   SC       180       44   62.4    57.88104647
EARLY          5   SC       157       37   43.8    42.78491861
EARLY          5   SC       213       48   72.0    73.56413778
EARLY          5   SC       284       49   93.2    96.90691258
EARLY          5   SC       253       50   92.2    89.37700321
EARLY          5   SC       333       47  109.3    106.7648074
EARLY          5   SC       294       51  106.4    104.1893236
EARLY          5   SC        83       19   12.5    12.12517585
EARLY          5   SC       218       48   73.0    75.08670304
EARLY          5   SC       248       44   83.2    76.80998295
EARLY          5   SC       199       41   59.1    58.73379623
EARLY          5   SC        89       20   14.0    13.60770728
EARLY          5   SC       103       28   20.4    22.02275385
EARLY          5   SC       184       42   57.4    56.20835673
EARLY          5   SC       193       41   59.9    57.16750509
EARLY          5   SC       100       19   18.1      14.293349
EARLY          5   SC        52       11    4.4    4.526450661
EARLY          5   SC       185       38   55.0    50.85677745
EARLY          5   SC       247       44   83.9    76.53646856
EARLY          5   SC       250       43   74.0    75.51601116
EARLY          5   SC       330       50  113.9    113.0073363
EARLY          5   SC       335       57  135.6    131.3652729
EARLY          5   SC       298       50  104.1    103.2752417
EARLY         10   SC       305       42   85.4    87.81759939
EARLY         10   SC       145       37   39.1    39.88436814
EARLY         10   SC       178       52   73.6    68.27299007
EARLY         10   SC       228       56   92.0    91.80941831
EARLY         10   SC       313       44   87.7    94.33489607
EARLY         10   SC       270       48   84.9    90.69657032
EARLY         10   SC       271       48   77.7    90.99308389
EARLY         10   SC       135       32   32.6    32.16295089
EARLY         10   SC       182       53   77.3    71.02898406
EARLY         10   SC       203       43   61.4    62.83274888
EARLY         10   SC       209       44   63.4    66.04096882
EARLY         10   SC       205       50   71.9    74.22636016
EARLY         10   SC       240       43   72.6    72.84274672
EARLY         10   SC       173       50   66.0    63.89716431
EARLY         10   SC       137       35   34.9    35.78998087
EARLY         10   SC       157       35   40.8      40.365532
EARLY         10   SC       245       40   67.0    68.76891588
EARLY         10   SC       230       54   82.4    89.06182105
EARLY         10   SC       185       57   81.1    77.76862697
EARLY         10   SC       220       45   72.9    70.74645683
EARLY         10   SC       119       31   34.2    27.83180594
